morador_id,codigo
486,codigo_DOC2
486,codigo_DOC3
486,codigo_DOC4
486,codigo_DOC5
489,codigo_DOC2
491,codigo_DOC1
491,codigo_DOC2
491,codigo_DOC3
491,codigo_DOC4
491,codigo_DOC5
492,codigo_DOC1
492,codigo_DOC3
492,codigo_DOC4
494,codigo_DOC1
494,codigo_DOC2
494,codigo_DOC3
494,codigo_DOC4
494,codigo_DOC5
495,codigo_DOC1
495,codigo_DOC2
495,codigo_DOC3
496,codigo_DOC1
496,codigo_DOC2
496,codigo_DOC3
496,codigo_DOC4
496,codigo_DOC5
497,codigo_DOC1
497,codigo_DOC2
497,codigo_DOC3
498,codigo_DOC1
498,codigo_DOC2
498,codigo_DOC3
498,codigo_DOC5
499,codigo_DOC1
499,codigo_DOC2
499,codigo_DOC3
499,codigo_DOC5
500,codigo_DOC1
500,codigo_DOC2
500,codigo_DOC3
500,codigo_DOC4
501,codigo_DOC2
503,codigo_DOC1
503,codigo_DOC2
503,codigo_DOC3
503,codigo_DOC4
504,codigo_DOC1
504,codigo_DOC2
504,codigo_DOC3
504,codigo_DOC4
504,codigo_DOC5
505,codigo_DOC1
505,codigo_DOC2
505,codigo_DOC4
505,codigo_DOC5
506,codigo_DOC1
506,codigo_DOC2
506,codigo_DOC3
506,codigo_DOC4
507,codigo_DOC1
507,codigo_DOC2
507,codigo_DOC3
509,codigo_DOC1
509,codigo_DOC2
509,codigo_DOC3
510,codigo_DOC1
510,codigo_DOC2
510,codigo_DOC3
510,codigo_DOC5
512,codigo_DOC1
512,codigo_DOC2
512,codigo_DOC3
512,codigo_DOC4
512,codigo_DOC5
513,codigo_DOC1
513,codigo_DOC2
513,codigo_DOC3
513,codigo_DOC4
515,codigo_DOC1
515,codigo_DOC3
516,codigo_DOC1
516,codigo_DOC2
516,codigo_DOC3
516,codigo_DOC4
516,codigo_DOC5
517,codigo_DOC2
519,codigo_DOC1
519,codigo_DOC4
520,codigo_DOC1
520,codigo_DOC2
520,codigo_DOC3
520,codigo_DOC4
520,codigo_DOC5
521,codigo_DOC1
521,codigo_DOC2
